tx_name	gene_id
ENSCAFT00000000206	ENSCAFG00000000124
ENSCAFT00000000207	ENSCAFG00000000125
ENSCAFT00000000209	ENSCAFG00000000126
ENSCAFT00000000210	ENSCAFG00000000127
ENSCAFT00000000211	ENSCAFG00000000128
ENSCAFT00000000212	ENSCAFG00000000129
ENSCAFT00000000213	ENSCAFG00000000130
ENSCAFT00000000215	ENSCAFG00000000131
ENSCAFT00000000216	ENSCAFG00000000132
ENSCAFT00000000223	ENSCAFG00000000133
ENSCAFT00000000221	ENSCAFG00000000133
ENSCAFT00000000217	ENSCAFG00000000134
ENSCAFT00000049267	ENSCAFG00000000135
ENSCAFT00000000220	ENSCAFG00000000135
ENSCAFT00000000224	ENSCAFG00000000136
ENSCAFT00000044624	ENSCAFG00000000137
ENSCAFT00000000227	ENSCAFG00000000137
ENSCAFT00000048913	ENSCAFG00000000140
ENSCAFT00000000232	ENSCAFG00000000140
ENSCAFT00000000230	ENSCAFG00000000141
ENSCAFT00000049849	ENSCAFG00000000141
ENSCAFT00000048075	ENSCAFG00000000141
ENSCAFT00000000231	ENSCAFG00000000142
ENSCAFT00000000235	ENSCAFG00000000143
ENSCAFT00000000233	ENSCAFG00000000144
ENSCAFT00000000234	ENSCAFG00000000144
ENSCAFT00000000237	ENSCAFG00000000145
ENSCAFT00000000238	ENSCAFG00000000147
ENSCAFT00000000245	ENSCAFG00000000148
ENSCAFT00000000239	ENSCAFG00000000149
ENSCAFT00000000242	ENSCAFG00000000150
ENSCAFT00000000247	ENSCAFG00000000153
ENSCAFT00000000249	ENSCAFG00000000155
ENSCAFT00000000253	ENSCAFG00000000156
ENSCAFT00000048971	ENSCAFG00000000156
ENSCAFT00000000254	ENSCAFG00000000157
ENSCAFT00000045423	ENSCAFG00000000157
ENSCAFT00000000259	ENSCAFG00000000158
ENSCAFT00000000261	ENSCAFG00000000158
ENSCAFT00000000256	ENSCAFG00000000159
ENSCAFT00000000260	ENSCAFG00000000160
ENSCAFT00000043498	ENSCAFG00000000162
ENSCAFT00000000262	ENSCAFG00000000162
ENSCAFT00000000269	ENSCAFG00000000163
ENSCAFT00000000266	ENSCAFG00000000164
ENSCAFT00000049811	ENSCAFG00000000165
ENSCAFT00000000267	ENSCAFG00000000165
ENSCAFT00000000268	ENSCAFG00000000166
ENSCAFT00000000273	ENSCAFG00000000167
ENSCAFT00000000270	ENSCAFG00000000168
ENSCAFT00000046010	ENSCAFG00000000169
ENSCAFT00000000275	ENSCAFG00000000169
ENSCAFT00000000276	ENSCAFG00000000170
ENSCAFT00000000277	ENSCAFG00000000171
ENSCAFT00000000278	ENSCAFG00000000172
ENSCAFT00000000281	ENSCAFG00000000173
ENSCAFT00000000283	ENSCAFG00000000175
ENSCAFT00000042967	ENSCAFG00000000175
ENSCAFT00000000284	ENSCAFG00000000176
ENSCAFT00000000285	ENSCAFG00000000177
ENSCAFT00000049824	ENSCAFG00000000178
ENSCAFT00000000295	ENSCAFG00000000178
ENSCAFT00000000291	ENSCAFG00000000183
ENSCAFT00000000292	ENSCAFG00000000184
ENSCAFT00000000293	ENSCAFG00000000185
ENSCAFT00000000296	ENSCAFG00000000187
ENSCAFT00000036032	ENSCAFG00000000188
ENSCAFT00000045372	ENSCAFG00000000189
ENSCAFT00000000298	ENSCAFG00000000189
ENSCAFT00000000299	ENSCAFG00000000190
ENSCAFT00000000301	ENSCAFG00000000191
ENSCAFT00000000309	ENSCAFG00000000192
ENSCAFT00000000302	ENSCAFG00000000193
ENSCAFT00000000305	ENSCAFG00000000194
ENSCAFT00000000313	ENSCAFG00000000195
ENSCAFT00000046541	ENSCAFG00000000196
ENSCAFT00000000314	ENSCAFG00000000196
ENSCAFT00000045886	ENSCAFG00000000196
ENSCAFT00000038803	ENSCAFG00000000197
ENSCAFT00000000312	ENSCAFG00000000198
ENSCAFT00000000321	ENSCAFG00000000199
ENSCAFT00000000319	ENSCAFG00000000200
ENSCAFT00000044629	ENSCAFG00000000201
ENSCAFT00000000323	ENSCAFG00000000201
ENSCAFT00000000326	ENSCAFG00000000202
ENSCAFT00000044793	ENSCAFG00000000203
ENSCAFT00000000324	ENSCAFG00000000203
ENSCAFT00000000325	ENSCAFG00000000204
ENSCAFT00000000327	ENSCAFG00000000204
ENSCAFT00000000328	ENSCAFG00000000205
ENSCAFT00000048871	ENSCAFG00000000205
ENSCAFT00000000329	ENSCAFG00000000206
ENSCAFT00000000332	ENSCAFG00000000207
ENSCAFT00000043593	ENSCAFG00000000209
ENSCAFT00000000331	ENSCAFG00000000209
ENSCAFT00000000333	ENSCAFG00000000210
ENSCAFT00000000334	ENSCAFG00000000211
ENSCAFT00000000338	ENSCAFG00000000212
ENSCAFT00000000335	ENSCAFG00000000213
ENSCAFT00000000337	ENSCAFG00000000214
ENSCAFT00000048795	ENSCAFG00000000215
ENSCAFT00000047978	ENSCAFG00000000215
ENSCAFT00000000344	ENSCAFG00000000215
ENSCAFT00000000341	ENSCAFG00000000216
ENSCAFT00000000342	ENSCAFG00000000217
ENSCAFT00000046374	ENSCAFG00000000217
ENSCAFT00000000346	ENSCAFG00000000219
ENSCAFT00000000351	ENSCAFG00000000220
ENSCAFT00000000353	ENSCAFG00000000221
ENSCAFT00000042959	ENSCAFG00000000221
ENSCAFT00000000352	ENSCAFG00000000223
ENSCAFT00000000357	ENSCAFG00000000224
ENSCAFT00000046695	ENSCAFG00000000224
ENSCAFT00000000358	ENSCAFG00000000225
ENSCAFT00000000360	ENSCAFG00000000226
ENSCAFT00000000364	ENSCAFG00000000228
ENSCAFT00000000365	ENSCAFG00000000229
ENSCAFT00000000363	ENSCAFG00000000230
ENSCAFT00000000366	ENSCAFG00000000231
ENSCAFT00000049375	ENSCAFG00000000231
ENSCAFT00000000369	ENSCAFG00000000233
ENSCAFT00000000373	ENSCAFG00000000234
ENSCAFT00000000370	ENSCAFG00000000235
ENSCAFT00000000375	ENSCAFG00000000236
ENSCAFT00000000374	ENSCAFG00000000237
ENSCAFT00000000388	ENSCAFG00000000238
ENSCAFT00000046518	ENSCAFG00000000238
ENSCAFT00000000378	ENSCAFG00000000239
ENSCAFT00000000376	ENSCAFG00000000240
ENSCAFT00000000377	ENSCAFG00000000241
ENSCAFT00000050045	ENSCAFG00000000242
ENSCAFT00000000381	ENSCAFG00000000242
ENSCAFT00000047077	ENSCAFG00000000244
ENSCAFT00000000380	ENSCAFG00000000244
ENSCAFT00000000383	ENSCAFG00000000245
ENSCAFT00000035671	ENSCAFG00000000245
ENSCAFT00000049928	ENSCAFG00000000246
ENSCAFT00000000386	ENSCAFG00000000246
ENSCAFT00000000389	ENSCAFG00000000247
ENSCAFT00000000395	ENSCAFG00000000248
ENSCAFT00000000391	ENSCAFG00000000249
ENSCAFT00000000393	ENSCAFG00000000250
ENSCAFT00000000397	ENSCAFG00000000251
ENSCAFT00000000396	ENSCAFG00000000252
ENSCAFT00000000398	ENSCAFG00000000252
ENSCAFT00000000399	ENSCAFG00000000253
ENSCAFT00000000401	ENSCAFG00000000255
ENSCAFT00000000400	ENSCAFG00000000256
ENSCAFT00000000403	ENSCAFG00000000257
ENSCAFT00000000408	ENSCAFG00000000258
ENSCAFT00000049327	ENSCAFG00000000258
ENSCAFT00000000412	ENSCAFG00000000259
ENSCAFT00000000411	ENSCAFG00000000259
ENSCAFT00000000413	ENSCAFG00000000260
ENSCAFT00000000410	ENSCAFG00000000261
ENSCAFT00000000417	ENSCAFG00000000262
ENSCAFT00000000414	ENSCAFG00000000263
ENSCAFT00000000416	ENSCAFG00000000265
ENSCAFT00000000421	ENSCAFG00000000267
ENSCAFT00000000419	ENSCAFG00000000268
ENSCAFT00000000425	ENSCAFG00000000271
ENSCAFT00000044681	ENSCAFG00000000272
ENSCAFT00000000423	ENSCAFG00000000272
ENSCAFT00000000434	ENSCAFG00000000273
ENSCAFT00000045338	ENSCAFG00000000273
ENSCAFT00000047785	ENSCAFG00000000273
ENSCAFT00000044042	ENSCAFG00000000273
ENSCAFT00000000424	ENSCAFG00000000274
ENSCAFT00000043400	ENSCAFG00000000275
ENSCAFT00000045214	ENSCAFG00000000275
ENSCAFT00000000426	ENSCAFG00000000275
ENSCAFT00000000433	ENSCAFG00000000277
ENSCAFT00000000436	ENSCAFG00000000278
ENSCAFT00000035161	ENSCAFG00000000279
ENSCAFT00000035160	ENSCAFG00000000279
ENSCAFT00000000440	ENSCAFG00000000280
ENSCAFT00000000438	ENSCAFG00000000281
ENSCAFT00000000439	ENSCAFG00000000282
ENSCAFT00000000441	ENSCAFG00000000283
ENSCAFT00000000443	ENSCAFG00000000285
ENSCAFT00000000446	ENSCAFG00000000287
ENSCAFT00000000445	ENSCAFG00000000288
ENSCAFT00000000447	ENSCAFG00000000289
ENSCAFT00000000448	ENSCAFG00000000290
ENSCAFT00000000450	ENSCAFG00000000291
ENSCAFT00000000451	ENSCAFG00000000293
ENSCAFT00000000449	ENSCAFG00000000293
ENSCAFT00000000452	ENSCAFG00000000294
ENSCAFT00000000455	ENSCAFG00000000295
ENSCAFT00000000458	ENSCAFG00000000296
ENSCAFT00000000466	ENSCAFG00000000297
ENSCAFT00000000460	ENSCAFG00000000300
ENSCAFT00000000463	ENSCAFG00000000303
ENSCAFT00000000464	ENSCAFG00000000304
ENSCAFT00000000467	ENSCAFG00000000305
ENSCAFT00000000471	ENSCAFG00000000307
ENSCAFT00000000474	ENSCAFG00000000308
ENSCAFT00000000476	ENSCAFG00000000309
ENSCAFT00000049505	ENSCAFG00000000310
ENSCAFT00000000475	ENSCAFG00000000310
ENSCAFT00000000481	ENSCAFG00000000311
ENSCAFT00000044951	ENSCAFG00000000312
ENSCAFT00000000479	ENSCAFG00000000312
ENSCAFT00000000484	ENSCAFG00000000314
ENSCAFT00000000487	ENSCAFG00000000316
ENSCAFT00000037946	ENSCAFG00000000317
ENSCAFT00000000490	ENSCAFG00000000318
ENSCAFT00000000491	ENSCAFG00000000320
ENSCAFT00000000493	ENSCAFG00000000322
ENSCAFT00000000496	ENSCAFG00000000323
ENSCAFT00000048170	ENSCAFG00000000323
ENSCAFT00000000499	ENSCAFG00000000324
ENSCAFT00000044228	ENSCAFG00000000326
ENSCAFT00000000501	ENSCAFG00000000326
ENSCAFT00000047082	ENSCAFG00000000326
ENSCAFT00000000503	ENSCAFG00000000327
ENSCAFT00000035347	ENSCAFG00000000329
ENSCAFT00000000507	ENSCAFG00000000330
ENSCAFT00000000508	ENSCAFG00000000331
ENSCAFT00000000509	ENSCAFG00000000332
ENSCAFT00000000513	ENSCAFG00000000333
ENSCAFT00000048388	ENSCAFG00000000333
ENSCAFT00000000511	ENSCAFG00000000334
ENSCAFT00000000517	ENSCAFG00000000335
ENSCAFT00000000520	ENSCAFG00000000336
ENSCAFT00000000522	ENSCAFG00000000337
ENSCAFT00000000528	ENSCAFG00000000338
ENSCAFT00000000524	ENSCAFG00000000339
ENSCAFT00000000526	ENSCAFG00000000340
ENSCAFT00000000529	ENSCAFG00000000341
ENSCAFT00000047107	ENSCAFG00000000344
ENSCAFT00000000538	ENSCAFG00000000344
ENSCAFT00000000539	ENSCAFG00000000345
ENSCAFT00000048655	ENSCAFG00000000345
ENSCAFT00000000545	ENSCAFG00000000347
ENSCAFT00000044838	ENSCAFG00000000347
ENSCAFT00000045938	ENSCAFG00000000348
ENSCAFT00000048458	ENSCAFG00000000348
ENSCAFT00000000548	ENSCAFG00000000348
ENSCAFT00000000552	ENSCAFG00000000350
ENSCAFT00000038429	ENSCAFG00000000350
ENSCAFT00000038428	ENSCAFG00000000350
ENSCAFT00000043053	ENSCAFG00000000351
ENSCAFT00000000550	ENSCAFG00000000351
ENSCAFT00000048549	ENSCAFG00000000352
ENSCAFT00000000554	ENSCAFG00000000352
ENSCAFT00000000560	ENSCAFG00000000353
ENSCAFT00000000561	ENSCAFG00000000353
ENSCAFT00000000553	ENSCAFG00000000354
ENSCAFT00000000562	ENSCAFG00000000355
ENSCAFT00000000555	ENSCAFG00000000356
ENSCAFT00000000556	ENSCAFG00000000357
ENSCAFT00000000563	ENSCAFG00000000359
ENSCAFT00000000567	ENSCAFG00000000360
ENSCAFT00000000565	ENSCAFG00000000361
ENSCAFT00000048434	ENSCAFG00000000361
ENSCAFT00000000572	ENSCAFG00000000364
ENSCAFT00000000570	ENSCAFG00000000365
ENSCAFT00000000575	ENSCAFG00000000366
ENSCAFT00000000580	ENSCAFG00000000367
ENSCAFT00000000005	ENSCAFG00000000367
ENSCAFT00000000579	ENSCAFG00000000370
ENSCAFT00000000577	ENSCAFG00000000372
ENSCAFT00000000584	ENSCAFG00000000373
ENSCAFT00000000586	ENSCAFG00000000374
ENSCAFT00000000588	ENSCAFG00000000375
ENSCAFT00000000590	ENSCAFG00000000376
ENSCAFT00000000591	ENSCAFG00000000377
ENSCAFT00000035720	ENSCAFG00000000378
ENSCAFT00000000592	ENSCAFG00000000378
ENSCAFT00000000593	ENSCAFG00000000379
ENSCAFT00000000597	ENSCAFG00000000380
ENSCAFT00000046292	ENSCAFG00000000381
ENSCAFT00000000598	ENSCAFG00000000381
ENSCAFT00000000595	ENSCAFG00000000382
ENSCAFT00000000607	ENSCAFG00000000384
ENSCAFT00000044628	ENSCAFG00000000384
ENSCAFT00000000603	ENSCAFG00000000385
ENSCAFT00000000605	ENSCAFG00000000386
ENSCAFT00000000601	ENSCAFG00000000386
ENSCAFT00000044921	ENSCAFG00000000387
ENSCAFT00000000614	ENSCAFG00000000387
ENSCAFT00000000617	ENSCAFG00000000388
ENSCAFT00000000618	ENSCAFG00000000389
ENSCAFT00000000620	ENSCAFG00000000390
ENSCAFT00000048461	ENSCAFG00000000391
ENSCAFT00000047085	ENSCAFG00000000391
ENSCAFT00000000622	ENSCAFG00000000391
ENSCAFT00000000625	ENSCAFG00000000393
ENSCAFT00000000624	ENSCAFG00000000394
ENSCAFT00000000634	ENSCAFG00000000395
ENSCAFT00000000627	ENSCAFG00000000396
ENSCAFT00000000639	ENSCAFG00000000397
ENSCAFT00000000626	ENSCAFG00000000398
ENSCAFT00000000628	ENSCAFG00000000399
ENSCAFT00000042946	ENSCAFG00000000399
ENSCAFT00000000630	ENSCAFG00000000400
ENSCAFT00000046557	ENSCAFG00000000402
ENSCAFT00000000631	ENSCAFG00000000402
ENSCAFT00000000633	ENSCAFG00000000404
ENSCAFT00000000638	ENSCAFG00000000405
ENSCAFT00000048295	ENSCAFG00000000406
ENSCAFT00000000645	ENSCAFG00000000406
ENSCAFT00000000642	ENSCAFG00000000407
ENSCAFT00000000643	ENSCAFG00000000408
ENSCAFT00000000644	ENSCAFG00000000409
ENSCAFT00000000647	ENSCAFG00000000410
ENSCAFT00000000648	ENSCAFG00000000411
ENSCAFT00000000649	ENSCAFG00000000412
ENSCAFT00000044658	ENSCAFG00000000412
ENSCAFT00000000656	ENSCAFG00000000413
ENSCAFT00000000652	ENSCAFG00000000414
ENSCAFT00000000651	ENSCAFG00000000415
ENSCAFT00000038720	ENSCAFG00000000416
ENSCAFT00000000659	ENSCAFG00000000417
ENSCAFT00000000663	ENSCAFG00000000418
ENSCAFT00000000664	ENSCAFG00000000419
ENSCAFT00000000665	ENSCAFG00000000420
ENSCAFT00000048600	ENSCAFG00000000421
ENSCAFT00000000666	ENSCAFG00000000421
ENSCAFT00000000667	ENSCAFG00000000422
ENSCAFT00000000670	ENSCAFG00000000423
ENSCAFT00000048094	ENSCAFG00000000424
ENSCAFT00000043597	ENSCAFG00000000424
ENSCAFT00000000672	ENSCAFG00000000424
ENSCAFT00000046748	ENSCAFG00000000424
ENSCAFT00000000674	ENSCAFG00000000425
ENSCAFT00000000675	ENSCAFG00000000426
ENSCAFT00000000685	ENSCAFG00000000427
ENSCAFT00000000678	ENSCAFG00000000428
ENSCAFT00000000677	ENSCAFG00000000429
ENSCAFT00000000680	ENSCAFG00000000430
ENSCAFT00000000681	ENSCAFG00000000431
ENSCAFT00000000684	ENSCAFG00000000432
ENSCAFT00000000718	ENSCAFG00000000433
ENSCAFT00000000687	ENSCAFG00000000434
ENSCAFT00000045671	ENSCAFG00000000435
ENSCAFT00000000688	ENSCAFG00000000435
ENSCAFT00000000692	ENSCAFG00000000436
ENSCAFT00000000694	ENSCAFG00000000437
ENSCAFT00000000697	ENSCAFG00000000437
ENSCAFT00000000698	ENSCAFG00000000439
ENSCAFT00000000701	ENSCAFG00000000441
ENSCAFT00000000700	ENSCAFG00000000442
ENSCAFT00000043014	ENSCAFG00000000442
ENSCAFT00000000703	ENSCAFG00000000442
ENSCAFT00000000705	ENSCAFG00000000443
ENSCAFT00000000706	ENSCAFG00000000444
ENSCAFT00000000809	ENSCAFG00000000445
ENSCAFT00000043078	ENSCAFG00000000445
ENSCAFT00000000760	ENSCAFG00000000445
ENSCAFT00000044768	ENSCAFG00000000445
ENSCAFT00000000719	ENSCAFG00000000446
ENSCAFT00000000717	ENSCAFG00000000446
ENSCAFT00000000709	ENSCAFG00000000447
ENSCAFT00000044691	ENSCAFG00000000448
ENSCAFT00000000714	ENSCAFG00000000448
ENSCAFT00000000723	ENSCAFG00000000450
ENSCAFT00000000724	ENSCAFG00000000451
ENSCAFT00000000728	ENSCAFG00000000453
ENSCAFT00000000742	ENSCAFG00000000454
ENSCAFT00000037049	ENSCAFG00000000454
ENSCAFT00000000730	ENSCAFG00000000456
ENSCAFT00000000731	ENSCAFG00000000457
ENSCAFT00000000732	ENSCAFG00000000458
ENSCAFT00000043266	ENSCAFG00000000459
ENSCAFT00000000735	ENSCAFG00000000459
ENSCAFT00000000736	ENSCAFG00000000460
ENSCAFT00000000740	ENSCAFG00000000462
ENSCAFT00000044774	ENSCAFG00000000463
ENSCAFT00000045664	ENSCAFG00000000463
ENSCAFT00000000738	ENSCAFG00000000463
ENSCAFT00000000745	ENSCAFG00000000464
ENSCAFT00000000739	ENSCAFG00000000465
ENSCAFT00000046336	ENSCAFG00000000469
ENSCAFT00000000751	ENSCAFG00000000469
ENSCAFT00000047683	ENSCAFG00000000470
ENSCAFT00000000746	ENSCAFG00000000470
ENSCAFT00000000747	ENSCAFG00000000471
ENSCAFT00000000748	ENSCAFG00000000472
ENSCAFT00000000753	ENSCAFG00000000473
ENSCAFT00000046793	ENSCAFG00000000474
ENSCAFT00000000750	ENSCAFG00000000474
ENSCAFT00000000752	ENSCAFG00000000475
ENSCAFT00000000761	ENSCAFG00000000478
ENSCAFT00000046522	ENSCAFG00000000478
ENSCAFT00000049760	ENSCAFG00000000479
ENSCAFT00000000758	ENSCAFG00000000479
ENSCAFT00000035769	ENSCAFG00000000479
ENSCAFT00000039314	ENSCAFG00000000480
ENSCAFT00000000763	ENSCAFG00000000481
ENSCAFT00000047300	ENSCAFG00000000482
ENSCAFT00000000771	ENSCAFG00000000482
ENSCAFT00000000764	ENSCAFG00000000483
ENSCAFT00000000770	ENSCAFG00000000484
ENSCAFT00000000768	ENSCAFG00000000485
ENSCAFT00000000779	ENSCAFG00000000487
ENSCAFT00000000775	ENSCAFG00000000487
ENSCAFT00000000774	ENSCAFG00000000488
ENSCAFT00000000815	ENSCAFG00000000489
ENSCAFT00000000777	ENSCAFG00000000491
ENSCAFT00000000791	ENSCAFG00000000492
ENSCAFT00000000778	ENSCAFG00000000493
ENSCAFT00000000780	ENSCAFG00000000494
ENSCAFT00000000785	ENSCAFG00000000496
ENSCAFT00000000781	ENSCAFG00000000497
ENSCAFT00000000784	ENSCAFG00000000498
ENSCAFT00000036073	ENSCAFG00000000500
ENSCAFT00000036952	ENSCAFG00000000502
ENSCAFT00000000793	ENSCAFG00000000506
ENSCAFT00000043554	ENSCAFG00000000507
ENSCAFT00000000811	ENSCAFG00000000507
ENSCAFT00000000797	ENSCAFG00000000509
ENSCAFT00000036511	ENSCAFG00000000509
ENSCAFT00000000795	ENSCAFG00000000510
ENSCAFT00000048082	ENSCAFG00000000510
ENSCAFT00000000800	ENSCAFG00000000512
ENSCAFT00000000799	ENSCAFG00000000512
ENSCAFT00000000798	ENSCAFG00000000513
ENSCAFT00000000802	ENSCAFG00000000515
ENSCAFT00000000804	ENSCAFG00000000517
ENSCAFT00000046002	ENSCAFG00000000519
ENSCAFT00000000806	ENSCAFG00000000519
ENSCAFT00000000818	ENSCAFG00000000522
ENSCAFT00000000826	ENSCAFG00000000523
ENSCAFT00000000817	ENSCAFG00000000525
ENSCAFT00000044675	ENSCAFG00000000525
ENSCAFT00000000822	ENSCAFG00000000528
ENSCAFT00000000824	ENSCAFG00000000529
ENSCAFT00000038741	ENSCAFG00000000530
ENSCAFT00000000827	ENSCAFG00000000532
ENSCAFT00000000874	ENSCAFG00000000533
ENSCAFT00000043218	ENSCAFG00000000534
ENSCAFT00000000828	ENSCAFG00000000534
ENSCAFT00000043332	ENSCAFG00000000535
ENSCAFT00000000829	ENSCAFG00000000535
ENSCAFT00000048517	ENSCAFG00000000535
ENSCAFT00000000835	ENSCAFG00000000536
ENSCAFT00000000831	ENSCAFG00000000538
ENSCAFT00000000839	ENSCAFG00000000540
ENSCAFT00000000846	ENSCAFG00000000543
ENSCAFT00000000837	ENSCAFG00000000544
ENSCAFT00000000838	ENSCAFG00000000545
ENSCAFT00000042996	ENSCAFG00000000547
ENSCAFT00000000840	ENSCAFG00000000547
ENSCAFT00000000849	ENSCAFG00000000548
ENSCAFT00000000841	ENSCAFG00000000549
ENSCAFT00000000847	ENSCAFG00000000550
ENSCAFT00000000852	ENSCAFG00000000554
ENSCAFT00000000860	ENSCAFG00000000555
ENSCAFT00000043830	ENSCAFG00000000557
ENSCAFT00000000872	ENSCAFG00000000557
ENSCAFT00000000859	ENSCAFG00000000558
ENSCAFT00000047866	ENSCAFG00000000561
ENSCAFT00000000869	ENSCAFG00000000561
ENSCAFT00000036473	ENSCAFG00000000562
ENSCAFT00000046865	ENSCAFG00000000562
ENSCAFT00000000867	ENSCAFG00000000562
